"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3159","User login with correct email and password","LMS system","Thu Mar 12 10:48:19 UTC 2026","passed","Thu Mar 12 10:48:22 UTC 2026","Authorization","Authentication","",""
"","2214","User login with wrong email or password","LMS system","Thu Mar 12 10:48:16 UTC 2026","passed","Thu Mar 12 10:48:18 UTC 2026","Authorization","Authentication","",""
"","1711","User login with wrong email or password","LMS system","Thu Mar 12 10:48:19 UTC 2026","passed","Thu Mar 12 10:48:21 UTC 2026","Authorization","Authentication","",""
"","1675","Check displaying of empty courses list","LMS system","Thu Mar 12 10:48:25 UTC 2026","passed","Thu Mar 12 10:48:26 UTC 2026","Courses","Courses","",""
"","1851","Registration with correct email, username and password","LMS system","Thu Mar 12 10:48:22 UTC 2026","passed","Thu Mar 12 10:48:24 UTC 2026","Registration","Authentication","",""
"","1661","Navigation from login page to registration page","LMS system","Thu Mar 12 10:48:21 UTC 2026","passed","Thu Mar 12 10:48:23 UTC 2026","Authorization","Authentication","",""
"","1890","Check displaying of dashboard page","LMS system","Thu Mar 12 10:48:30 UTC 2026","passed","Thu Mar 12 10:48:31 UTC 2026","Dashboard","Dashboard","",""
"","2952","Create course","LMS system","Thu Mar 12 10:48:26 UTC 2026","passed","Thu Mar 12 10:48:29 UTC 2026","Courses","Courses","",""
"","2222","User login with wrong email or password","LMS system","Thu Mar 12 10:48:16 UTC 2026","passed","Thu Mar 12 10:48:18 UTC 2026","Authorization","Authentication","",""
"","3220","Edit course","LMS system","Thu Mar 12 10:48:26 UTC 2026","passed","Thu Mar 12 10:48:30 UTC 2026","Courses","Courses","",""
